datetime,hr,rri
2019-04-02 20:05:00.238,96, 618
2019-04-02 20:05:01.231,96, 623
2019-04-02 20:05:02.216,96, 635
2019-04-02 20:05:03.220,95, 652
2019-04-02 20:05:04.207,94, 650
2019-04-02 20:05:05.188,94, 628
2019-04-02 20:05:06.180,95, 625
2019-04-02 20:05:07.170,95, 634
2019-04-02 20:05:08.161,95, 656
2019-04-02 20:05:09.159,94, 663
2019-04-02 20:05:10.137,93, 674
2019-04-02 20:05:11.133,92, 634
2019-04-02 20:05:12.118,93, 613
2019-04-02 20:05:13.107,94, 614
2019-04-02 20:05:14.097,95, 650
2019-04-02 20:05:15.091,94, 661
2019-04-02 20:05:16.077,94, 661
2019-04-02 20:05:17.067,93, 638
2019-04-02 20:05:18.057,93, 615
2019-04-02 20:05:19.046,94, 625
2019-04-02 20:05:20.035,94, 661
2019-04-02 20:05:21.028,93, 661
2019-04-02 20:05:22.018,93, 631
2019-04-02 20:05:23.006,94, 625
2019-04-02 20:05:24.000,94, 630
2019-04-02 20:05:24.989,94, 629
2019-04-02 20:05:25.976,94, 640
2019-04-02 20:05:26.969,94, 633
2019-04-02 20:05:27.955,95, 591
2019-04-02 20:05:28.949,97, 587
2019-04-02 20:05:29.942,98, 596
2019-04-02 20:05:30.935,98, 614
2019-04-02 20:05:31.919,98, 633
2019-04-02 20:05:32.907,97, 641
2019-04-02 20:05:33.899,96, 625
2019-04-02 20:05:34.890,96, 647
2019-04-02 20:05:35.877,95, 660
2019-04-02 20:05:36.874,94, 655
2019-04-02 20:05:37.856,93, 671
2019-04-02 20:05:38.846,92, 705
2019-04-02 20:05:39.837,90, 691
2019-04-02 20:05:40.831,90, 688
2019-04-02 20:05:41.817,89, 681
2019-04-02 20:05:42.806,89, 653
2019-04-02 20:05:43.798,90, 660
2019-04-02 20:05:44.786,90, 651
2019-04-02 20:05:45.776,91, 626
2019-04-02 20:05:46.770,92, 643
2019-04-02 20:05:47.759,92, 660
2019-04-02 20:05:49.244,92, 637
2019-04-02 20:05:50.240,93, 633
2019-04-02 20:05:51.224,93, 642
2019-04-02 20:05:52.211,93, 640
2019-04-02 20:05:53.213,93, 649
2019-04-02 20:05:54.199,93, 648
2019-04-02 20:05:55.186,93, 652
2019-04-02 20:05:56.171,93, 638
2019-04-02 20:05:57.163,93, 631
2019-04-02 20:05:58.162,94, 630
2019-04-02 20:05:59.140,94, 651
2019-04-02 20:06:00.132,93, 634
2019-04-02 20:06:01.124,94, 621
2019-04-02 20:06:02.114,95, 612
2019-04-02 20:06:03.101,96, 593
2019-04-02 20:06:04.102,99, 566
2019-04-02 20:06:05.080,100, 566
2019-04-02 20:06:06.072,102, 604
